scorer,DLC_resnet50_T001Mar9shuffle1_500000,DLC_resnet50_T001Mar9shuffle1_500000,DLC_resnet50_T001Mar9shuffle1_500000,DLC_resnet50_T001Mar9shuffle1_500000,DLC_resnet50_T001Mar9shuffle1_500000,DLC_resnet50_T001Mar9shuffle1_500000,DLC_resnet50_T001Mar9shuffle1_500000,DLC_resnet50_T001Mar9shuffle1_500000,DLC_resnet50_T001Mar9shuffle1_500000,DLC_resnet50_T001Mar9shuffle1_500000,DLC_resnet50_T001Mar9shuffle1_500000,DLC_resnet50_T001Mar9shuffle1_500000
bodyparts,Mouse1,Mouse1,Mouse1,Mouse2,Mouse2,Mouse2,Mouse3,Mouse3,Mouse3,Mouse4,Mouse4,Mouse4
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
69,931.7891235,35.50255203,1,1146.906128,43.97587585,0.999995947,544.444458,643.5158691,0.999998927,1508.154175,679.0698242,0.999998927
70,931.7941284,35.55272293,1,1146.846924,43.94010544,0.999995768,544.444458,643.4599609,0.999998808,1508.163452,679.0698242,0.999998987
71,931.9424438,35.55272293,0.99999994,1146.840942,43.91584396,0.999995708,544.444458,643.4599609,0.999998987,1508.26123,679.0698242,0.999999046
72,931.9755859,35.55272293,0.99999994,1146.826782,43.6501503,0.999994636,544.5328369,643.4818726,0.999999166,1508.88208,679.0462036,0.999999046
73,931.9859619,35.44591141,0.99999994,1146.828979,43.6501503,0.999994695,544.5328369,643.4818726,0.999999225,1508.985596,678.972229,0.999999106
74,931.9859619,35.39392471,1,1146.828979,43.6501503,0.999994695,544.5328369,643.4802246,0.999999225,1509.007813,678.8670654,0.999999225
75,931.9813232,35.39115906,1,1146.828979,43.70489883,0.999995172,544.5325928,643.4802246,0.999999166,1509.007813,678.8330688,0.999999225
76,931.9755859,35.37131119,1,1146.835449,43.70648193,0.999995053,544.5325928,643.4799805,0.999999166,1509.361206,678.6610718,0.999999166
77,931.9813232,35.39115906,1,1146.984009,43.70899582,0.999994874,544.5325928,643.4592285,0.999998987,1509.451538,677.8430786,0.999999523
78,931.9813232,35.39392471,0.99999994,1146.985962,43.73974991,0.999994874,544.696228,643.4592285,0.999998927,1509.478271,677.7997437,0.999999404
79,932.1519165,35.45267105,1,1147.134888,43.86500168,0.999993145,544.7650146,643.4592285,0.999998748,1509.695435,677.7944336,0.999999404
80,932.1912842,35.45608139,1,1147.135132,43.99774551,0.999993324,544.789856,643.4650879,0.999998748,1509.733887,677.7523804,0.999999285
